DictionaryForm
会う
開く
開ける
上げる
浴びる
ある
歩く
行く
いる
入れる
歌う
生まれる
売る
起きる
置く
送る
教える
押す
覚える
泳ぐ
終わる
買う
帰る
書く
貸す
借りる
消す
切る
聞く
来る
答える
困る
咲く
死ぬ
閉まる
閉める
知る
座る
立つ
頼む
食べる
違う
使う
作る
出かける
出す
飛ぶ
止まる
取る
飲む
登る
話す
働く
始まる
弾く
引く
吹く
降る
曲がる
持つ
休む
呼ぶ
読む
分かる
渡る
洗う
言う
売れる
着る
脱ぐ
寝る
起こす
走る
待つ
見せる
見つける
要る
帰す
置き換える
立てる
寝かせる
乗る
降りる
集まる
集める
始める
終える
出る
入る
上る
下りる
渡す
払う
