DictionaryForm
会う
開く
開ける
上げる
浴びる
ある
行く
いる
入れる
生まれる
売る
起きる
置く
送る
教える
押す
覚える
泳ぐ
降りる
終わる
買う
帰る
書く
貸す
借りる
消す
切る
聞く
来る
答える
困る
咲く
死ぬ
閉まる
閉める
知る
座る
立つ
頼む
食べる
違う
使う
作る
出かける
出す
飛ぶ
止まる
取る
飲む
入る
登る
話す
働く
始まる
弾く
引く
吹く
降る
曲がる
持つ
休む
呼ぶ
読む
分かる
渡る
洗う
言う
歌う
売れる
着る
脱ぐ
寝る
起こす
歩く
走る
待つ
見せる
見つける
要る
