合う
集まる
集める
謝る
安心する
案内する
移る
祈る
怒る
威張る
覚ます
覚める
預かる
預ける
温める
暖まる
変える
変わる
考える
決まる
決める
困る
壊す
壊れる
探す
触る
過ぎる
育つ
育てる
続く
続ける
倒す
倒れる
確かめる
捕まえる
違える
通う
連れる
出発する
伝える
通る
直す
治る
慣れる
似る
盗む
払う
冷える
冷やす
増える
増やす
減る
減らす
褒める
参る
負ける
間に合う
見送る
迎える
申し上げる
戻る
焼く
焼ける
痩せる
揺れる
喜ぶ
笑う
泣く
残る
残す
決心する
用意する
片付ける
調べる
考え直す
知らせる
続きる
勤める
泊まる
止める
沸かす
沸く
運ぶ
落とす
落ちる
思い出す
思い付く
驚く
片寄る
変化する
感謝する
計画する
経験する
失敗する
準備する
説明する
紹介する
卒業する
相談する
注意する
発音する
翻訳する
練習する
連絡する
運転する
利用する
予約する
参加する
約束する
直る
増す
減少する
成功する
成長する
進む
進める
続行する
比較する
表す
訪ねる
訪れる
助ける
招待する
建てる
建つ
選ぶ
送信する
受け取る
支払う
払戻す
頼る
信じる
感じる
決断する
保つ
守る
直行する
延期する
解決する
